리뷰번호,리뷰작성일시,작성자종류,주문번호,리뷰평점,상품명,상품코드,리뷰내용,지급완료적립금액,구매옵션,작성플랫폼
6220,2024-06-11 19:10,NPAY 비회원,20240604-0000149-01,5,호안오닉스 팬텀골드,P0000BWS,여친하고 커플로 하다 여친께 끊어져서 새로 구입했습니다 여친이 좋아했던 물건이라,1100,S,알파리뷰
6225,2024-06-12 1:53,회원,20240604-0000027-01,5,호안오닉스 팬텀골드,P0000BWS,인생템 구매했습니다. 종류 별로 구매 예정입니다. ,1100,XL,알파리뷰
6226,2024-06-12 20:28,회원,20240605-0000525-01,5,화석오닉스 인피니스톤,P0000BBR,좋은상품 판매해주셔서 감사합니다,600,L,알파리뷰
6233,2024-06-12 20:41,회원,20240606-0000258-01,5,쇼핑백,P0000BVU,"집사람거 먼저 구매해서 착옷ㅇ한걸 보고
너무 좋아서
제꺼도 구매했어요.",0,size: 13.5 x 15 x 9(cm),알파리뷰
6234,2024-06-12 20:51,회원,20240606-0000311-01,5,호안오닉스 팬텀골드,P0000BWS,예쁘네요.여름에 다른 팔찌와 함께하기 좋아요. 고급스럽구요,600,XXL,알파리뷰
6235,2024-06-12 22:27,NPAY 비회원,20240604-0000868-01,2,호안헤마 페르스톤,P0000BWD,"실물이 사진만 못하네요.. 가격 대비도 그렇고..
곧 여름인데 물과 땀에 취약한 것도 좀 아쉽습니다..",600,주문제작 (상담하기 또는 배송 메시지에 남겨주세요.),알파리뷰
6236,2024-06-12 22:30,NPAY 비회원,20240604-0000868-02,3,호안석 솔라스톤,P0000BVW,사진하고 똑같습니다. 가격은 조금 비싸게 느껴지네요.,600,M,알파리뷰
6239,2024-06-13 6:23,회원,20240606-0000243-02,1,호안오닉스 가디언스톤,P0000CBM,자석이 너무 쉽게 떨어져요. 손만 씻어도 떨어져요 ㅠ,600,M,알파리뷰
6240,2024-06-13 6:23,회원,20240606-0000243-01,1,호안오닉스 가디언스톤,P0000CBM,자석이 너무 쉽게 떨어지더니 물건 받은 날 하고 나가서 잃어버렸어요. 몇시간 차고 있지도 못하고 돈 버렸네요 ㅠ,600,L,알파리뷰
6241,2024-06-13 2:50,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,실착용 시 예쁩니다!(2024-06-12 18:12:07 에 등록된 네이버 페이 구매평),0, ,CAFE24
6242,2024-06-13 2:51,시스템수집,,5,흑요석 블랙가드스톤,P0000BPD,"사이즈를 좀 크게 주문해서 늘어나면 빠지지 않을까 했는데 많이 늘어남 없이 한달이상 사용했네요 고급스러운 디자인이라 주변에서 한번씩 쳐다보네요 
네입크로버를 같이 보내주셔서 
받자마자 기분도 무척 좋았습니다!^^(2024-06-12 20:41:05 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6244,2024-06-14 3:51,회원,20240523-0000368-01,4,호안닉스 리치스톤,P0000BPP,디자인이 너무  마음에들어 재구매 했어요,600,XL,알파리뷰
6247,2024-06-14 19:06,회원,20240611-0000334-01,5,호안오닉스 카네스톤,P0000BBQ,"끊어져서 두번째 구입입니다~
너무 맘에 들어요",1100,L,알파리뷰
6250,2024-06-14 19:17,비회원,20240607-0000910-01,5,호안석 골드 플렌티스톤,P0000BPL,생각보다 이뻐요 손목이 굵은편이라 m주문했는데 괜찮아요,1100,M,알파리뷰
6251,2024-06-14 19:35,회원,20240610-0000195-01,5,호안오닉스 미스틱아이언,P0000BWH,"너무 이쁘잖아요 😁
하나더 구매해서 바꿔가며 껴볼 생각입니다 ☺️",1100,L,알파리뷰
